id,name_common,name,name_en_trade,type,brand,vendor,model,stock_no,serial_no,price,qty,budget_year,received_date,location,status,note,image_urls,created_at,updated_at
38,เครื่องblood gas,เครื่องตรวจค่าชีวเคมีในเลือด,,จิปาถะ,Opti Medical,,OPTI CCA-TS,6630-35-757-0743,OP4-4782,246100.00,,,29เมย63,,,มูลนิธิรพ.ภูมิพลอดุลยเดช ที่323/2563ลง20พค63 ซื้อบริจาค,,,
39,เครื่องblood gas,เครื่องตรวจค่าชีวเคมีในเลือด,,จิปาถะ,Opti Medical,,OPTI CCA-TS,,OP4-15542,350000.00,,,15มี.ค.63,,,บ.บริจาค***โอนย้ายไป icu-med ทอ77.กวห.ที่93/63,,,
40,Co2 monitor,เครื่องวัดก๊าชคาร์บอนไดออกไชด์ในลมหายใจออก,,จิปาถะ,Drager,,Vamos,6515-35-747-5326,ASMM-6541,300000.00,,,28กพ63,,,,,,
41,Co2 monitor,เครื่องวัดก๊าชคาร์บอนไดออกไชด์ในลมหายใจออก,,จิปาถะ,Drager,,Vamos,6515-35-747-5326,ASMM-6590,300000.00,,,26สค62,,,,,,
42,Etco2 monitor พกพา,เครื่องวัดปริมาณก๊าซคาร์บอนไดออกไซด์ แบบพกพา(ETCo2),,จิปาถะ,Creative,,CAPNO CUBE,,JJ00QC00019,6500.00,,,28พค64,,,,,,
43,Nerve stimulator,เครื่องกระตุ้นปลายประสาท(nerve stimulator -Top watch),,จิปาถะ,Nerve stimulator,,TOP-WATCH,6515-35-747-2690,17-2014081,95000.00,,,11มีค 58,,,,,,
44,Nerve stimulator,เครื่องกระตุ้นปลายประสาท เปลี่ยนชื่อ เป็น เครื่องเฝ้าติดตามการทำงานของระบบประสาทกล้ามเนื้อ,,จิปาถะ,Drager,,TOP-scan,6515-35-747-9697,2019-9366,90000.00,,,2มค63,,,,,,
45,เครื่องพ่นนยา(nebulizer),เครื่องพ่นยาแบบละอองฝอย,,จิปาถะ,Pulmo-Aide,,56501,6515-35-747-9883,17003590,7500.00,,,14ตค63,,,,,,
46,Magill forcep  adult,,,จิปาถะ,ยี่ห้อ Tenno Germany,,,,No sn.,2800.00,50,,9เม.ย.63,,,,,,
47,ถ้วย stanless,ถ้วยสแตนเลส ขนาด 6 ออนซ์,,จิปาถะ,,,,,,30.00,,,2552,,,,,,
48,Temporary pacemakers,เครื่องกระตุ้นไฟฟ้าหัวใจ(ชนิดชั่วคราว แบบที่2),,จิปาถะ,Medtronic,,5392 Dual chamber,,DJH047746P,200000.00,,งบปี65,2มีค.66,,,,,,
49,Temporary pacemakers,เครื่องกระตุ้นไฟฟ้าหัวใจ(ชนิดชั่วคราว แบบที่2),,จิปาถะ,Medtronic,,5392 Dual chamber,,DJH047747P,200000.00,,งบปี65,2มีค.66,,,,,,
